dependency_name,packages_declaring,used,dependabot_bumps_24m,removal_candidate,removal_summary,overlap_group,consolidation_note,replacement_effort,how_to_remove,replacement_dependency,replacement_reason
@types/commondir,cli-kit,yes,27,yes,"Easy win – small effort, cuts 27 dependabot bumps",,,small,"The 'commondir' package computes the common parent directory for an array of paths. It is a tiny, abandoned package (single 21-line function, last published ~2014). The functionality can be inlined as a small utility function in path.ts itself (no external dependency needed), or replaced with a modern alternative that ships types. Removing both 'commondir' and '@types/commondir' requires implementing ~5-10 lines of path logic in path.ts. Effort is 'small'.",none,"The 'commondir' package is a tiny, unmaintained (~2014) utility. Its functionality (finding the common parent of a list of paths) can be trivially inlined, eliminating the runtime dep and the @types package entirely. This also reduces supply-chain risk from an abandoned package."
@types/express,app,yes,27,yes,"Easy win – small effort, cuts 27 dependabot bumps",,,small,"express@5 ships bundled TypeScript declarations. Upgrading express from 4.21.2 to express@5 would make @types/express redundant. The API surface used in server.ts (app.get, app.post, app.use, app.listen, express.Request, express.Response, bodyParser) is broadly compatible with express@5, so the migration effort is small (update import, adjust any breaking API changes, drop @types/express devDependency from app/package.json).",express@5,"express@5 ships bundled TypeScript declarations, eliminating the need for @types/express. Only one file in one package uses express types, making this a small migration."
@types/global-agent,cli,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"global-agent is last published at v3.0.0 (2021) and is effectively unmaintained. The functionality (bootstrapping a global HTTP/HTTPS proxy from environment variables such as GLOBAL_AGENT_HTTP_PROXY) is minimal — only 'createGlobalProxyAgent()' is called with no arguments in the CLI entry point. Replacement options: (1) switch to 'hpagent' or 'undici' proxy support configured at the fetch/http layer, or (2) use the 'proxy-from-env' + manual Agent wiring pattern. Given the single call site with no arguments, replacement effort is small. Removing both global-agent and @types/global-agent together is a small change.",hpagent,"global-agent is unmaintained (last release 2021) and @types/global-agent mirrors a dead package. Replacing with an actively maintained proxy solution (e.g. hpagent) and dropping both runtime and @types dependencies is a small, targeted change at a single call site."
@typescript-eslint/eslint-plugin,eslint-plugin-cli,yes,2,yes,"Quick win – trivial removal, cuts 2 dependabot bumps",,,trivial,Remove '@typescript-eslint/eslint-plugin' from the dependencies in packages/eslint-plugin-cli/package.json. No code changes required — the package will continue to be provided transitively via @shopify/eslint-plugin -> typescript-eslint -> @typescript-eslint/eslint-plugin. Also update packages/features/steps/node-deps.steps.ts which lists '@typescript-eslint/parser' in sharedDependencies (a related cleanup). Run `pnpm install` and `pnpm run lint` to confirm nothing breaks.,none,Already provided transitively through @shopify/eslint-plugin v50's dependency on the unified 'typescript-eslint' package. The direct declaration is redundant duplication.
@typescript-eslint/parser,eslint-plugin-cli,yes,13,yes,"Quick win – trivial removal, cuts 13 dependabot bumps",,,trivial,1. Remove '@typescript-eslint/parser' from dependencies in packages/eslint-plugin-cli/package.json. 2. Remove '@typescript-eslint/parser' from the sharedDependencies array in packages/features/steps/node-deps.steps.ts (line 38) since this dep will no longer be directly declared. 3. Run `pnpm install` and `pnpm run lint` to confirm ESLint still works correctly via the transitive path.,none,Already provided transitively through @shopify/eslint-plugin v50's dependency on the unified 'typescript-eslint' package. The direct declaration is redundant. The sharedDependencies version-check in the features integration test is a secondary concern that must be cleaned up alongside removal.
ansi-escapes,cli-kit,yes,52,yes,"Quick win – trivial removal, cuts 52 dependabot bumps",terminal-colors,inline – OSC 8 link is a 2-line function,trivial,"The single usage is ansiEscapes.link(label, url) which generates the string '\u001B]8;;{url}\u0007{label}\u001B]8;;\u0007'. This can be inlined as a one-liner utility function with no external dependency: (label, url) => `\u001B]8;;${url}\u0007${label}\u001B]8;;\u0007`. Remove the import from Link.tsx, add the inline helper, and remove the package from cli-kit's package.json.",none,"The only feature used is OSC 8 hyperlink generation, a trivially inlineable 2-line function. No external package is needed."
body-parser,app,yes,16,yes,"Quick win – trivial removal, cuts 16 dependabot bumps",,,trivial,Replace the single line 'app.use(bodyParser.json())' with 'app.use(express.json())'. Remove the import 'import bodyParser from body-parser' from server.ts. Remove 'body-parser' from packages/app/package.json dependencies. express.json() is available in Express 4.x and is identical in behaviour.,none,Express 4.x (already a declared dependency) provides express.json() which is body-parser's json() middleware re-exported. No additional package needed.
brotli,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Replace with Node.js built-in zlib.brotliCompress (available since Node 10.16). The call is a single synchronous compression of a Buffer; the equivalent is `zlib.brotliCompressSync(tarContent, { params: { [zlib.constants.BROTLI_PARAM_QUALITY]: 7, [zlib.constants.BROTLI_PARAM_MODE]: zlib.constants.BROTLI_MODE_GENERIC } })`. Remove the `brotli` import and its @types package, update the integration test, and delete the dependency from cli-kit/package.json.",none,"Node.js >=10.16 ships zlib.brotliCompressSync which covers the exact call surface used here. The brotli npm package has had zero releases in the last 24 months (last published 2019), making it a maintenance liability. Migration is a single-site code change."
camelcase-keys,app,yes,0,yes,"Easy win – small effort, no upstream churn",string-case,absorb into change-case – inline helper using camelCase(),small,"Replace the two `camelcaseKeys(obj)` call sites with a small inline helper (10–15 lines) that recursively converts snake_case keys to camelCase using String.prototype.replace. Alternatively, vendor the single-function logic directly in the app-logs utilities. The `camelCase` function already available from the `change-case` package (declared in cli-kit and re-exported as `camelize`) can be used as the key transformer. Remove the `camelcase-keys` entry from app/package.json.",none,"The two call sites pass flat or single-level objects; shallow camelCase conversion is trivial to inline. The monorepo already has `change-case`'s `camelCase` function available via cli-kit's `camelize` export, so no new dependency is needed. camelcase-keys has had no releases in the past 24 months."
color-json,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",terminal-colors,absorb into chalk – inline JSON colorizer,small,"Replace the single call `cjs(stringifyMessage(this.value) ?? {})` in JsonContentToken.output() with a small inline coloriser using the already-present `colors` (ansi-colors / chalk) helper: pretty-print via JSON.stringify then apply color.cyan/yellow/green on keys, strings and numbers respectively, or simply use `JSON.stringify(..., null, 2)` with no coloring. The fallback already exists in the catch block. No callers need to change.",none,"The functionality (syntax-colored JSON for terminal output) can be replicated with a ~20-line inline helper using the ansi-colors/chalk instance already imported in the same package, eliminating an unmaintained single-purpose dependency."
commondir,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"commondir's entire published source is ~15 lines. The one call site is `commondir([path, dir])` which returns the longest common path prefix. This can be inlined directly in relativizePath() using Node's built-in `path.resolve` and string splitting, or by importing `pathe` (already a direct dependency) utilities. No other file needs to change.",none,The package is a tiny utility (< 20 lines) that has had no releases in years. The single call site in relativizePath() is trivially replaceable with an inline implementation using Node built-ins or the existing pathe dependency.
copy-to-clipboard,ui-extensions-dev-console,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"Replace the single call with the browser-native Clipboard API: `await navigator.clipboard.writeText(qrCodeURL)`. The component already uses React hooks (useCallback), so converting the handler to async and wrapping in a try/catch is a one-line change. Alternatively the Web Clipboard API is already available in Chromium-based Electron / browser contexts that ui-extensions-dev-console targets.",none,The Web Clipboard API (navigator.clipboard.writeText) is a browser built-in that covers the single use case. copy-to-clipboard is only needed as a legacy fallback for IE/old Safari; the dev console does not need to support those environments.
debug,eslint-plugin-cli,yes,13,yes,"Quick win – trivial removal, cuts 13 dependabot bumps",,,trivial,"The single debug() call can be replaced by a conditional `if (process.env.DEBUG?.includes('eslint-plugin-cli')) console.error(...)` or simply removed, since it is a developer-facing diagnostic line inside an ESLint rule that most users never enable. No other rule files in the package use debug.",none,The entire usage is one diagnostic log line in one ESLint rule file. Replacing it with a short inline conditional on process.env.DEBUG eliminates the dependency entirely with zero functional regression for end users.
deepmerge,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",object-utils,absorb into lodash – use lodash.merge or 15-line inline,trivial,"Replace the single `deepMerge(lhs, rhs, {arrayMerge})` call in object.ts with a small inline recursive merge function (~15 lines) or with structuredClone + a custom array-merge strategy. The surrounding `deepMergeObjects` signature stays unchanged, so no callers need updating.",none,deepmerge has had zero releases since October 2022 (last version 4.3.1). The single usage is a trivial one-liner that is easily inlined. Removing it reduces supply-chain risk from an unmaintained package.
diff,app,yes,58,yes,"Easy win – small effort, cuts 58 dependabot bumps",,,small,"Replace `diffLines` with Node.js's built-in or a micro-implementation. A ~30-line Myers/line-diff function is sufficient given the narrow use-case (comparing two .env file strings). The `Change` type can be replaced with a local interface `{ value: string; added?: boolean; removed?: boolean }`. All three files would need updating, but the surface is narrow.",none,"Only one runtime call site (diffLines on .env file strings). The `Change` type is used in two other files but only as a TypeScript type annotation, replaceable with a local interface. The diff library is moderately active (~2 releases in 24 months) but the functionality needed is narrow enough to inline."
dotenv,cli-kit,yes,10,yes,"Easy win – small effort, cuts 10 dependabot bumps",,,small,"The `parse` function maps `KEY=VALUE` lines to an object. Node 20.6+ ships `--env-file` flag support but no programmatic `parse` API. A ~20-line regex-based parser handling comments, quoted values, and multiline strings covers the .env spec subset the codebase already handles in patchEnvFile. Alternatively, the existing `patchEnvFile` parsing logic (already in dot-env.ts) could be refactored into a standalone `parse` equivalent.",none,"Only the `parse` function is used, and the file already contains hand-written .env line parsing logic in `patchEnvFile`. Consolidating into a shared inline parser removes the external dependency with minimal effort. dotenv is actively maintained (~5 releases in 24 months) but the narrow usage does not justify the dependency."
env-paths,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"env-paths resolves platform-specific directories: on macOS `~/Library/Caches/<name>` and `~/Library/Logs/<name>`, on Linux `~/.cache/<name>` and `~/.local/share/logs/<name>`, on Windows `%LOCALAPPDATA%/<name>/Cache` and `%LOCALAPPDATA%/<name>/Log`. A ~25-line inline function using `process.platform`, `os.homedir()`, and `process.env` (LOCALAPPDATA, XDG_CACHE_HOME, XDG_STATE_HOME) replaces it completely. Only two call sites need the `.cache` and `.log` properties.",none,"env-paths has had zero releases since January 2023 (last version 3.0.0) and is effectively unmaintained. The usage is limited to two property accesses (.cache, .log) for platform-specific directories. An inline implementation using os.homedir() and process.platform covers all three supported platforms with minimal code."
eslint-config-prettier,eslint-plugin-cli,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The @shopify/eslint-plugin already pulls in eslint-plugin-prettier and includes a .prettier config spread. Check whether shopifyPlugin.configs.prettier already includes eslint-config-prettier's rule-disabling config. If so, the explicit spread of eslintConfigPrettier is redundant and can be deleted along with the require() import and the package dependency. If not, the ~200 rule overrides it provides could be inlined as a rules object — tedious but straightforward. Either way, effort is small.",none,"@shopify/eslint-plugin's prettier config may already cover this; if not, the rules can be inlined or the dependency kept as it is a tiny zero-logic config package. Net effort to remove is small."
eslint-plugin-jsdoc,eslint-plugin-cli,yes,14,yes,"Easy win – small effort, cuts 14 dependabot bumps",eslint-docs,"keep – active, covers public API files",small,Only one rule ('jsdoc/require-returns-description') is used. This rule enforces that @returns JSDoc tags include a description. It could be replaced by the tsdoc plugin's syntax rule (already present) or removed entirely if the team is comfortable relying only on TypeScript types. Alternatively the single rule check could be implemented as a small custom rule (~30 lines). Effort is small.,none,Only one rule is used from a large plugin. The rule can be inlined as a custom rule or replaced by stricter tsdoc/syntax checks from the already-present eslint-plugin-tsdoc.
eslint-plugin-jsx-a11y,eslint-plugin-cli,no,56,yes,Remove – unused,,,n/a,Delete the 'eslint-plugin-jsx-a11y' entry from the dependencies section of packages/eslint-plugin-cli/package.json and run pnpm install. No source code changes required.,none,The package is declared but never used. It can be deleted with no code changes required.
eslint-plugin-no-catch-all,eslint-plugin-cli,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The plugin exposes a single rule (no-catch-all). The functionality — disallowing bare catch(e) without type narrowing — overlaps significantly with the TypeScript ESLint rule '@typescript-eslint/use-unknown-in-catch-callback-variable' which is already declared in config.js but currently set to 'off'. Enabling that TS-eslint rule and removing this plugin would cover the same intent. Effort is small: flip 'off' to 'error' for '@typescript-eslint/use-unknown-in-catch-callback-variable', remove the plugin import and registration, remove the rule, and drop the package.json dependency.",@typescript-eslint/eslint-plugin,"'@typescript-eslint/use-unknown-in-catch-callback-variable' (already a declared dependency, currently set to 'off') covers the same enforcement. Switching to it eliminates the external dependency with a one-line config change."
eslint-plugin-prettier,eslint-plugin-cli,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Drop the explicit 'eslint-plugin-prettier' entry from eslint-plugin-cli/package.json. The package will still be available transiently through @shopify/eslint-plugin (which requires it in its own prettier config). If @shopify/eslint-plugin ever stops bundling it, the 'prettier/prettier' rule would silently stop applying. Alternatively, switch to relying solely on eslint-config-prettier (already also used) which disables conflicting rules without running prettier as a lint rule — a pattern recommended by the prettier project itself.",none,"The explicit declaration is redundant since @shopify/eslint-plugin already pulls in eslint-plugin-prettier. Removing the direct dep reduces surface area without any functional change. If the team wants to drop prettier-as-a-lint-rule entirely, eslint-config-prettier (already present) is sufficient for disabling conflicting rules."
eslint-plugin-unused-imports,eslint-plugin-cli,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"Remove the require() call and plugin registration from config.js, remove the 'unused-imports/no-unused-imports': 'error' rule, and remove from package.json. The equivalent functionality is already partially covered by '@typescript-eslint/no-unused-vars' (already configured in baseRules lines 183-194 as an error). The specific unused-imports rule targets import declarations more precisely — the switch to @typescript-eslint/no-unused-vars with 'varsIgnorePattern' and ensuring imports are included would cover the same ground. Alternatively, @typescript-eslint v7+ added 'no-unused-import' as a dedicated rule.",none,"The functionality (flagging unused imports) is already substantially covered by the existing '@typescript-eslint/no-unused-vars' rule configured in config.js. The 'unused-imports/no-unused-imports' rule is additive but not unique. With @typescript-eslint already configured to catch unused vars including imports, removing this plugin represents trivial effort — verify no gaps by running lint before/after, and adjust @typescript-eslint/no-unused-vars config if any import-specific patterns need tuning."
express,app,yes,32,yes,"Easy win – small effort, cuts 32 dependabot bumps",http-client,replace with Node http module – only used for 6-route GraphiQL server,small,"Replace with Node.js built-in http.createServer() plus manual routing (~6 routes), or use a minimal alternative like fastify or hono. The route count is very small (5 GET, 1 POST). The bodyParser.json() middleware can be replaced with JSON.parse on the readable body stream. express.Request/Response types would be replaced with http.IncomingMessage/ServerResponse. Estimated effort: ~100 lines of targeted rewriting in a single file, low risk.",none,"The usage is isolated to a single small server file with only 6 routes and no advanced express features. Node.js built-in http module is sufficient for this use case, eliminating a heavy dependency (express + body-parser) from the app package."
figures,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"The 5 used symbols (tick ✔, cross ✖, square ▪, arrowUp ↑, arrowDown ↓) can be inlined as a small hand-rolled object in the figures.ts shim file, with the same Unicode fallbacks figures itself provides for Windows. Delete the import and replace with a plain const object. No other files need to change since they all import through the shim or via the package name (which resolves identically). Total change: ~10 lines in figures.ts.",none,"Only 5 Unicode symbols are used. These can be inlined trivially as a static object in the existing figures.ts shim, removing an external ESM-only dependency with no runtime benefit over a ~10-line inline constant."
find-up,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Node.js has no built-in find-up equivalent, but the functionality is a simple recursive directory walk (check for file existence, move to parent, stop at root). A self-contained ~20-line async helper can replace find-up entirely within fs.ts, behind the existing findPathUp() wrapper. The public API stays unchanged. Alternatively, the locate-path or escalade packages are lighter options. Low risk since the call is already isolated behind a single wrapper function.",none,The dependency is used only through a single wrapper function. Inlining a small recursive path-walker (~20 lines using fs/promises.access and path.dirname) eliminates the dependency with negligible effort and no API changes to callers.
form-data,cli-kit,yes,14,yes,"Easy win – small effort, cuts 14 dependabot bumps",,,small,"1) Replace `FormData` from `form-data` with the global `FormData` available in Node 18+ (no import needed). 2) Replace `import {Headers} from 'form-data'` in api.ts with the global `Headers` type or a structural type `{forEach(cb: (v: string, k: string) => void): void}`. 3) Update the instanceof check in http.test.ts to use the global `FormData`. 4) Remove `form-data` from cli-kit's package.json. Scope: 3 files, ~5 line changes.",none,Node 18+ ships both FormData and Headers as globals. The project already targets Node 18+ (evidenced by use of AbortSignal.timeout and fs/promises). Removing form-data eliminates a dependency whose only unique value was polyfilling these globals.
get-port-please,cli-kit,yes,56,yes,"Easy win – small effort, cuts 56 dependabot bumps",,,small,"Replace with a small inline helper that opens a TCP server on port 0 (Node net module), records the assigned port, then closes the server — a well-known pattern that requires ~15 lines. The `checkPortAvailability` function can be replaced by attempting a connection on `net.createServer().listen(port, host)`. The wrapper in tcp.ts already isolates all calls behind `getAvailableTCPPort` and `checkPortAvailability`, so callers need no changes. Remove get-port-please from cli-kit's package.json.",none,Node's built-in `net` module can fully provide random-port and port-check functionality. The existing comment in tcp.ts acknowledging a HOST env-var bug in the library is an additional motivation to remove the dependency.
gradient-string,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",terminal-colors,absorb into chalk – inline HSV gradient (~30 lines),small,"Inline the gradient logic directly in TextAnimation.tsx using the 'chalk' package (already a dependency of cli-kit) and HSV-to-RGB conversion (a small pure function). The entire surface is a single private component with one call site; no public API is exposed. Alternatively, the feature could be removed entirely if the rainbow animation is cosmetic-only.",chalk,"chalk is already a declared dependency in cli-kit and supports 256-colour / truecolor ANSI output. A small HSV-to-RGB helper (~15 lines) plus chalk.rgb() calls would fully replace gradient-string's usage here. gradient-string itself has had zero releases in the last 24 months (latest pinned version is 2.0.2, which predates the window), indicating an unmaintained project."
http-proxy-node16,app,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The functionality (HTTP + WebSocket reverse proxying to a target URL) can be replaced with Node.js built-in http/https modules plus the 'http-proxy' package (the upstream from which http-proxy-node16 is forked), or with a lightweight alternative such as 'http-proxy-middleware' (express-compatible) or a manual pipe using http.request() and socket upgrades. The usage is isolated to one ~100-line file with a clear interface (createProxyServer, proxy.web, proxy.ws). http-proxy-node16 is a Node 16-compatibility fork of the original http-proxy; the upstream http-proxy package now supports modern Node versions and is a direct drop-in replacement.",http-proxy,"http-proxy-node16 is a maintenance fork created solely to fix Node 16 compatibility issues in the original http-proxy package. The upstream http-proxy package (v1.18+) now works on all current Node versions and has an identical API (createProxyServer, proxy.web, proxy.ws). Switching requires changing only the import string and the package.json entry. The package has had 0 releases in 24 months (locked at 1.0.6), confirming it is unmaintained."
is-executable,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"In github.test.ts, replace `import {isExecutable} from 'is-executable'` and the `isExecutable(targetPath)` call with the already-existing `fileHasExecutablePermissions` from '@shopify/cli-kit/node/fs' (which uses fs.access + X_OK internally). Remove is-executable from cli-kit/package.json dependencies. One-line change in one test file.",none,The production equivalent (fileHasExecutablePermissions using fs.access/X_OK) already exists in cli-kit/src/public/node/fs.ts. The test simply needs to import that wrapper instead of the external package. Zero new code required.
is-interactive,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,Inline the check: replace `return isInteractive()` with `return Boolean(process.stdout.isTTY) && process.env.TERM !== 'dumb'` (or the equivalent two-liner). The is-interactive package source is ~10 lines. Remove the import and the dependency from package.json. The existing isTerminalInteractive() wrapper means the change is contained to one call-site in local.ts.,none,The entire package is a ~10-line utility around process.stdout.isTTY and TERM env var checks. Node.js exposes both natively. Inlining the logic eliminates the external dependency with trivial effort.
is-wsl,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",,,trivial,"Inline the WSL detection logic. The is-wsl package checks: (1) process.platform === 'linux', (2) the existence and content of /proc/version containing 'microsoft' or 'WSL'. This is a ~5-line inline implementation. Replace the dynamic import with a native fs.readFileSync('/proc/version') check guarded by process.platform === 'linux'. Remove is-wsl from package.json.",none,"The WSL detection algorithm is trivial and well-documented: check /proc/version for 'microsoft'/'WSL' on linux. The package itself is a thin wrapper around exactly that logic. Inlining it is a small, low-risk change confined to one function in system.ts."
jose,cli-kit,yes,13,yes,"Quick win – trivial removal, cuts 13 dependabot bumps",,,trivial,"Replace the single `jose.decodeJwt` call with a two-line inline decoder: the JWT payload is the base64url-encoded middle segment of the token, so `JSON.parse(Buffer.from(token.split('.')[1], 'base64url').toString()).sub` is equivalent. Remove the `import * as jose from 'jose'` import and the `""jose""` entry from cli-kit's package.json. No other files are affected.",none,"The only usage is decoding (not verifying) a JWT payload, which requires nothing more than a base64url decode plus JSON.parse — both available in Node.js built-ins (Buffer). The full jose library (JOSE standard: JWS, JWE, JWK, JWT) is massive overkill for this single decode-only call."
jsdom,ui-extensions-dev-console; ui-extensions-server-kit,yes,2,yes,"Easy win – small effort, cuts 2 dependabot bumps",test-dom,"replace with happy-dom – lighter weight, Vitest-recommended",small,"Switch the vitest `environment` from `'jsdom'` to `'happy-dom'` in both vite.config.mts files and replace `""jsdom"": ""^25.0.0""` with `""happy-dom""` in both package.json devDependencies. happy-dom is a lighter-weight DOM implementation that is the standard Vitest alternative. Some test helpers relying on jsdom-specific behaviour (e.g. exact error messages) may need minor adjustment.",happy-dom,"jsdom is only used as a Vitest test environment for DOM simulation in two React packages. happy-dom is a faster, maintained alternative that Vitest officially recommends and supports natively. The switch is mechanical (one config key per package) with minimal risk of test breakage."
